Let,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
T,2,8,3,5,1,8,13,0,6,6,10,8,0,8,0,8
I,5,12,3,7,2,10,5,5,4,13,3,9,2,8,4,10
D,4,11,6,8,6,10,6,2,6,10,3,7,3,7,3,9
N,7,11,6,6,3,5,9,4,6,4,4,10,6,10,2,8
G,2,1,3,1,1,8,6,6,6,6,5,9,1,7,5,10
S,4,11,5,8,3,8,8,6,9,5,6,6,0,8,9,7
B,4,2,5,4,4,8,7,6,6,7,6,6,2,8,7,10
A,1,1,3,2,1,8,2,2,2,8,2,8,1,6,2,7
J,2,2,4,4,2,10,6,2,6,12,4,8,1,6,1,7
M,11,15,13,9,7,13,2,6,2,12,1,9,8,1,1,8
X,3,9,5,7,4,8,7,3,8,5,6,8,2,8,6,7
O,6,13,4,7,4,6,7,6,3,10,7,9,5,9,5,8
G,4,9,6,7,6,7,8,6,2,6,5,11,4,8,7,8
M,6,9,8,6,9,7,8,6,5,7,5,8,8,9,8,6
R,5,9,5,7,6,6,11,7,3,7,3,9,2,7,5,11
F,6,9,5,4,3,10,6,3,5,10,5,7,3,9,6,9
O,3,4,4,3,2,8,7,7,5,7,6,8,2,8,3,8
C,7,10,5,5,2,6,8,6,8,11,7,11,2,8,5,9
T,6,11,6,8,5,6,11,5,6,11,9,4,3,12,2,4
J,2,2,3,3,1,10,6,3,6,12,4,9,0,7,1,7
J,1,3,2,2,1,8,8,2,5,14,5,8,0,7,0,7
H,4,5,5,4,4,7,7,6,6,7,6,8,3,8,3,8
S,3,2,3,3,2,8,8,7,5,7,5,7,2,8,9,8
O,6,11,7,8,5,7,6,9,6,7,5,9,4,8,5,5
J,3,6,4,4,2,6,6,4,4,14,8,12,1,6,1,6